,Strike,Signal_Type,Candle_Start_Time,Candle_End_Time,Signal_Time,Signal_Price,New_Signal,Timeframe
0,NIFTY2161715800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.382110,58.25,NA,5minute
1,NIFTY2161715850CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.579498,36.3,NA,5minute
2,NIFTY2161715900CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.767879,20.85,NA,5minute
3,NIFTY2161716250CE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.312187,2.0,NA,5minute
4,NIFTY2161715650PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.685906,14.75,NA,5minute
5,NIFTY2161715550PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.081928,6.2,NA,5minute
6,NIFTY2161715450PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.467018,3.95,NA,5minute
7,NIFTY2161715300PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.064367,2.75,NA,5minute
8,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.581027,178.05,NA,5minute
9,BANKNIFTY2161735300CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:04.771999,137.0,NA,5minute
10,BANKNIFTY2161735500CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:05.138054,76.05,NA,5minute
11,BANKNIFTY2161735600CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.357270,54.95,NA,5minute
12,BANKNIFTY2161735700CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.535233,40.1,NA,5minute
13,BANKNIFTY2161735800CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.709744,30.15,NA,5minute
14,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:06.092352,19.2,NA,5minute
15,BANKNIFTY2161735000PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:06.480379,143.85,NA,5minute
16,BANKNIFTY2161734600PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:07.249712,50.9,NA,5minute
17,NIFTY2161715800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:08.504389,58.05,NA,5minute
18,NIFTY2161715850CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:08.683856,36.05,NA,5minute
19,NIFTY2161715900CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:08.871902,20.85,NA,5minute
20,NIFTY2161716250CE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:10.230848,2.0,NA,5minute
21,NIFTY2161715650PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:10.627894,14.75,NA,5minute
22,NIFTY2161715550PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:11.017621,6.15,NA,5minute
23,NIFTY2161715450PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:11.417453,3.95,NA,5minute
24,NIFTY2161715300PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:12.008954,2.75,NA,5minute
25,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:12.644293,178.05,NA,5minute
26,BANKNIFTY2161735300CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:12.853229,137.0,NA,5minute
27,BANKNIFTY2161735500CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:13.252716,75.4,NA,5minute
28,BANKNIFTY2161735600CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:13.439580,54.95,NA,5minute
29,BANKNIFTY2161735700CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:13.627992,40.65,NA,5minute
30,BANKNIFTY2161735800CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:13.824801,30.2,NA,5minute
31,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:14.190283,19.2,NA,5minute
32,BANKNIFTY2161735000PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:14.571800,143.8,NA,5minute
33,BANKNIFTY2161734600PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:15.314733,50.9,NA,5minute
0,NIFTY2161715800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.382110,58.25,NA,5minute
1,NIFTY2161715850CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.579498,36.3,NA,5minute
2,NIFTY2161715900CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.767879,20.85,NA,5minute
3,NIFTY2161716250CE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.312187,2.0,NA,5minute
4,NIFTY2161715650PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.685906,14.75,NA,5minute
5,NIFTY2161715550PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.081928,6.2,NA,5minute
6,NIFTY2161715450PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.467018,3.95,NA,5minute
7,NIFTY2161715300PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.064367,2.75,NA,5minute
8,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.581027,178.05,NA,5minute
9,BANKNIFTY2161735300CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:04.771999,137.0,NA,5minute
10,BANKNIFTY2161735500CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:05.138054,76.05,NA,5minute
11,BANKNIFTY2161735600CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.357270,54.95,NA,5minute
12,BANKNIFTY2161735700CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.535233,40.1,NA,5minute
13,BANKNIFTY2161735800CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.709744,30.15,NA,5minute
14,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:06.092352,19.2,NA,5minute
15,BANKNIFTY2161735000PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:06.480379,143.85,NA,5minute
16,BANKNIFTY2161734600PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:07.249712,50.9,NA,5minute
17,NIFTY2161715800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:08.504389,58.05,NA,5minute
18,NIFTY2161715850CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:08.683856,36.05,NA,5minute
19,NIFTY2161715900CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:08.871902,20.85,NA,5minute
20,NIFTY2161716250CE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:10.230848,2.0,NA,5minute
21,NIFTY2161715650PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:10.627894,14.75,NA,5minute
22,NIFTY2161715550PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:11.017621,6.15,NA,5minute
23,NIFTY2161715450PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:11.417453,3.95,NA,5minute
24,NIFTY2161715300PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:12.008954,2.75,NA,5minute
25,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:12.644293,178.05,NA,5minute
26,BANKNIFTY2161735300CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:12.853229,137.0,NA,5minute
27,BANKNIFTY2161735500CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:13.252716,75.4,NA,5minute
28,BANKNIFTY2161735600CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:13.439580,54.95,NA,5minute
29,BANKNIFTY2161735700CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:13.627992,40.65,NA,5minute
30,BANKNIFTY2161735800CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:13.824801,30.2,NA,5minute
31,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:14.190283,19.2,NA,5minute
32,BANKNIFTY2161735000PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:14.571800,143.8,NA,5minute
33,BANKNIFTY2161734600PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:15.314733,50.9,NA,5minute
34,NIFTY2161715800CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:00.322538,55.95,NA,5minute
35,NIFTY2161715850CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:00.502091,34.95,NA,5minute
36,NIFTY2161715900CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00.706157,20.3,NA,5minute
37,NIFTY2161716000CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:01.082395,6.25,NA,5minute
38,NIFTY2161716250CE,1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:02.033528,2.0,NA,5minute
39,NIFTY2161715700PE,1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:02.224404,26.1,NA,5minute
40,NIFTY2161715550PE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:02.777009,6.4,NA,5minute
41,NIFTY2161715300PE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:03.711919,2.7,NA,5minute
42,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:04.235030,176.55,NA,5minute
43,BANKNIFTY2161735300CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:04.423400,135.1,NA,5minute
44,BANKNIFTY2161735500CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:04.799340,74.7,NA,5minute
45,BANKNIFTY2161735600CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:04.979728,54.2,NA,5minute
46,BANKNIFTY2161735700CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:05.160411,40.15,NA,5minute
47,BANKNIFTY2161735800CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:05.354690,29.9,NA,5minute
48,BANKNIFTY2161736000CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:05.710620,19.05,NA,5minute
49,BANKNIFTY2161734600PE,1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:06.847067,53.45,NA,5minute
50,BANKNIFTY2161734500PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:07.050000,42.45,NA,5minute
51,BANKNIFTY2161734300PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:07.435345,27.7,NA,5minute
52,BANKNIFTY2161734200PE,1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:07.613038,23.2,NA,5minute
0,NIFTY2161715800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.382110,58.25,NA,5minute
1,NIFTY2161715850CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.579498,36.3,NA,5minute
2,NIFTY2161715900CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:00.767879,20.85,NA,5minute
3,NIFTY2161716250CE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.312187,2.0,NA,5minute
4,NIFTY2161715650PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:02.685906,14.75,NA,5minute
5,NIFTY2161715550PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.081928,6.2,NA,5minute
6,NIFTY2161715450PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:03.467018,3.95,NA,5minute
7,NIFTY2161715300PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.064367,2.75,NA,5minute
8,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:04.581027,178.05,NA,5minute
9,BANKNIFTY2161735300CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:04.771999,137.0,NA,5minute
10,BANKNIFTY2161735500CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:05.138054,76.05,NA,5minute
11,BANKNIFTY2161735600CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.357270,54.95,NA,5minute
12,BANKNIFTY2161735700CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.535233,40.1,NA,5minute
13,BANKNIFTY2161735800CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:05.709744,30.15,NA,5minute
14,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:06.092352,19.2,NA,5minute
15,BANKNIFTY2161735000PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:06.480379,143.85,NA,5minute
16,BANKNIFTY2161734600PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:07.249712,50.9,NA,5minute
17,NIFTY2161715800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:08.504389,58.05,NA,5minute
18,NIFTY2161715850CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:08.683856,36.05,NA,5minute
19,NIFTY2161715900CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:08.871902,20.85,NA,5minute
20,NIFTY2161716250CE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:10.230848,2.0,NA,5minute
21,NIFTY2161715650PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:10.627894,14.75,NA,5minute
22,NIFTY2161715550PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:11.017621,6.15,NA,5minute
23,NIFTY2161715450PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:11.417453,3.95,NA,5minute
24,NIFTY2161715300PE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:12.008954,2.75,NA,5minute
25,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:12.644293,178.05,NA,5minute
26,BANKNIFTY2161735300CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:12.853229,137.0,NA,5minute
27,BANKNIFTY2161735500CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:13.252716,75.4,NA,5minute
28,BANKNIFTY2161735600CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:13.439580,54.95,NA,5minute
29,BANKNIFTY2161735700CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:13.627992,40.65,NA,5minute
30,BANKNIFTY2161735800CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:13.824801,30.2,NA,5minute
31,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:14.190283,19.2,NA,5minute
32,BANKNIFTY2161735000PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:10:14.571800,143.8,NA,5minute
33,BANKNIFTY2161734600PE,1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:10:15.314733,50.9,NA,5minute
34,NIFTY2161715800CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:00.322538,55.95,NA,5minute
35,NIFTY2161715850CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:00.502091,34.95,NA,5minute
36,NIFTY2161715900CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00.706157,20.3,NA,5minute
37,NIFTY2161716000CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:01.082395,6.25,NA,5minute
38,NIFTY2161716250CE,1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:02.033528,2.0,NA,5minute
39,NIFTY2161715700PE,1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:02.224404,26.1,NA,5minute
40,NIFTY2161715550PE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:02.777009,6.4,NA,5minute
41,NIFTY2161715300PE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:03.711919,2.7,NA,5minute
42,BANKNIFTY2161735200CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:04.235030,176.55,NA,5minute
43,BANKNIFTY2161735300CE,-1,2021-06-16 11:10:00+05:30,2021-06-16 11:10:00+05:30,2021-06-16 11:15:04.423400,135.1,NA,5minute
44,BANKNIFTY2161735500CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:04.799340,74.7,NA,5minute
45,BANKNIFTY2161735600CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:04.979728,54.2,NA,5minute
46,BANKNIFTY2161735700CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:05.160411,40.15,NA,5minute
47,BANKNIFTY2161735800CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:05.354690,29.9,NA,5minute
48,BANKNIFTY2161736000CE,-1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:05.710620,19.05,NA,5minute
49,BANKNIFTY2161734600PE,1,2021-06-16 11:15:00+05:30,2021-06-16 11:15:00+05:30,2021-06-16 11:15:06.847067,53.45,NA,5minute
